Batch 1, DSC Scores: [0.9996460393977156, 0.7962263481761274]
Batch 2, DSC Scores: [0.9995740944472599, 0.6811045078244622]
Batch 3, DSC Scores: [0.9996400303810071, 0.719813573462988]
Batch 4, DSC Scores: [0.9997710847991667, 0.7441270074872606]
Batch 5, DSC Scores: [0.9996210585955617, 0.5504997060552617]
Batch 6, DSC Scores: [0.9993852864479743, 0.6251446759259259]
Batch 7, DSC Scores: [0.9995027282559922, 0.3719249154716101]
Batch 8, DSC Scores: [0.9994743515528124, 0.04376058723884811]
Batch 9, DSC Scores: [0.9998900296893604, 0.8198424068767909]
Batch 10, DSC Scores: [0.9992740288574409, 0.4710595474649061]
Batch 11, DSC Scores: [0.999696607592653, 0.4553587565515995]
Batch 12, DSC Scores: [0.998203833894605, 0.5264045374415575]
Batch 13, DSC Scores: [0.9996710261763453, 0.8367936450622856]
Batch 14, DSC Scores: [0.9989389279935134, 0.08919159422273941]
Batch 15, DSC Scores: [0.9997959464315023, 0.7090609102158669]
Batch 16, DSC Scores: [0.9997143356554762, 0.7876876015677278]
Batch 17, DSC Scores: [0.9998488147546772, 0.8726408868945493]
Batch 18, DSC Scores: [0.999845001959201, 0.8283430084529992]
Batch 19, DSC Scores: [0.9996537994981863, 0.4487208399107971]
Batch 20, DSC Scores: [0.9996583152439944, 0.6207162534435262]
Batch 21, DSC Scores: [0.999062606492128, 0.5757777566359052]
Batch 22, DSC Scores: [0.9997322079827035, 0.8246935529147562]
Batch 23, DSC Scores: [0.9996361518216266, 0.8069746872762499]
Batch 24, DSC Scores: [0.9997626066158943, 0.7840839527765632]
Batch 25, DSC Scores: [0.9995835250484004, 0.8029901342952758]
Batch 26, DSC Scores: [0.9993166211586099, 0.7353882277111484]
Batch 27, DSC Scores: [0.9996687124902763, 0.03730308758664146]
Batch 28, DSC Scores: [0.9994563927416014, 0.1404503535699156]
Batch 29, DSC Scores: [0.9993197181389063, 0.8068734738174912]
Batch 30, DSC Scores: [0.9998002200997143, 0.839362022269034]
Batch 31, DSC Scores: [0.9998780339855233, 0.8078265070588867]
Batch 32, DSC Scores: [0.9992156854271587, 0.21852237252861603]
Batch 33, DSC Scores: [0.9994640636795901, 0.7869591872482046]
Batch 34, DSC Scores: [0.9998779189277982, 0.0]
Batch 35, DSC Scores: [0.9992276331432803, 0.4430446194225722]
Batch 36, DSC Scores: [0.9997953587614641, 0.7208874687245651]
Batch 37, DSC Scores: [0.9993548407030514, 0.8129930074747683]
Batch 38, DSC Scores: [0.9995241159247195, 0.6288169891544075]
Batch 39, DSC Scores: [0.9995337832449653, 0.6432658556522576]
Batch 40, DSC Scores: [0.9993376392197904, 0.3176148463644661]
Batch 41, DSC Scores: [0.9996510165291114, 0.8018253538556733]
Batch 42, DSC Scores: [0.9997968168344595, 0.5718295295073491]
Batch 43, DSC Scores: [0.9996137103253253, 0.19750653938920407]
Batch 44, DSC Scores: [0.999714566281112, 0.2831235918008463]
Batch 45, DSC Scores: [0.999658130323103, 0.47555603893632065]
Batch 46, DSC Scores: [0.9997063695219128, 0.4714208923132055]
Batch 47, DSC Scores: [0.999076484164195, 0.4826038159371493]
Batch 48, DSC Scores: [0.9995818082696607, 0.658361153262519]
Batch 49, DSC Scores: [0.9997995465143508, 0.7973403296549237]
Batch 50, DSC Scores: [0.9995233286120344, 0.5305478519354999]
Batch 51, DSC Scores: [0.9996138052515225, 0.8345570143495463]
Batch 52, DSC Scores: [0.9997574812407607, 0.7621100164203612]
Batch 53, DSC Scores: [0.999216859870777, 0.28641657400362847]
Batch 54, DSC Scores: [0.999456419383993, 0.4370331245755678]
Batch 55, DSC Scores: [0.9994662416562888, 0.5030372681004761]
Batch 56, DSC Scores: [0.9998121275961064, 0.296559030816712]
Batch 57, DSC Scores: [0.9995033044635805, 0.28613824656856685]
Batch 58, DSC Scores: [0.9994848443161942, 0.7244830438378825]
Batch 59, DSC Scores: [0.9997230713991048, 0.748056016558823]
Batch 60, DSC Scores: [0.9996715745718491, 0.6829944913407047]
Batch 61, DSC Scores: [0.9996499003655729, 0.43801295896328296]
Batch 62, DSC Scores: [0.9998781604634981, 0.8239329514933825]
Batch 63, DSC Scores: [0.9994165846636337, 0.7992279213998671]
Batch 64, DSC Scores: [0.9991161980899762, 0.6811329716757081]
Batch 65, DSC Scores: [0.9996189932713004, 0.5393837910247823]
Batch 66, DSC Scores: [0.9994342207933243, 0.7669494512725308]
Batch 67, DSC Scores: [0.999770015677766, 0.7499554022715109]
Batch 68, DSC Scores: [0.9996272889713247, 0.7513106566949089]
Batch 69, DSC Scores: [0.999574348941787, 0.44641042710486667]
Batch 70, DSC Scores: [0.9993024917373055, 0.17582903929440774]
Batch 71, DSC Scores: [0.9997371535324621, 0.7470183014600041]
Batch 72, DSC Scores: [0.9994711988700913, 0.3420224842036161]
Batch 73, DSC Scores: [0.9997518892984806, 0.6822682786413357]
Batch 74, DSC Scores: [0.9997267043460875, 0.7738959596822413]
Batch 75, DSC Scores: [0.9994451828804569, 0.4057214336215805]
Batch 76, DSC Scores: [0.9993956516106762, 0.3269354394342915]
Batch 77, DSC Scores: [0.9996694929587687, 0.580520452278018]
Batch 78, DSC Scores: [0.9997235627847549, 0.689083119108826]
Batch 79, DSC Scores: [0.9991082655326387, 0.5279625966552778]
Batch 80, DSC Scores: [0.9985577846028624, 0.6621954873354998]
Batch 81, DSC Scores: [0.9996190989753446, 0.6673318614130435]
Batch 82, DSC Scores: [0.99969489683609, 0.7243885771086583]
Batch 83, DSC Scores: [0.9993376114974171, 0.6670739596061238]
Batch 84, DSC Scores: [0.9997755089376319, 0.6446762203567088]
Batch 85, DSC Scores: [0.9996639496173352, 0.4306593774405891]
Batch 86, DSC Scores: [0.9997800690329199, 0.7916725129788129]
Batch 87, DSC Scores: [0.9997526817169502, 0.378469153261446]
Batch 88, DSC Scores: [0.9996026951117857, 0.44052109663620453]
Batch 89, DSC Scores: [0.9996210274134009, 0.5394101876675603]
Batch 90, DSC Scores: [0.9998037401862058, 0.8398804216709498]
Batch 91, DSC Scores: [0.9996862587564573, 0.8331380550280797]
Batch 92, DSC Scores: [0.9995102400921115, 0.43040467137425314]
Batch 93, DSC Scores: [0.9997535040761244, 0.8542421078355141]
Batch 94, DSC Scores: [0.9992722185130123, 0.05573480432972523]
Batch 95, DSC Scores: [0.999665698957509, 0.7283518843692406]
Batch 96, DSC Scores: [0.9991408552757478, 0.016733790912700663]
Batch 97, DSC Scores: [0.999063444512922, 0.29385678883526806]
Batch 98, DSC Scores: [0.9995989847755004, 0.8212598696686549]
Batch 99, DSC Scores: [0.9995594969563245, 0.529847673939893]
Batch 100, DSC Scores: [0.9988356121329353, 0.09909953291279433]
