scan,label
/data/PANORAMA/amos22/amos22/images/amos_0328.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0328.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0247.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0247.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0173.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0173.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0318.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0318.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0135.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0135.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0073.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0073.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0364.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0364.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0140.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0140.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0133.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0133.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0123.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0123.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0126.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0126.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0143.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0143.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0051.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0051.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0136.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0136.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0058.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0058.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0078.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0078.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0373.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0373.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0199.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0199.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0405.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0405.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0088.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0088.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0047.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0047.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0040.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0040.nii.gz
