scan,label
/data/PANORAMA/amos22/amos22/images/amos_0131.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0131.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0007.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0007.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0121.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0121.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0127.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0127.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0283.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0283.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0061.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0061.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0017.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0017.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0035.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0035.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0006.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0006.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0358.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0358.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0325.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0325.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0177.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0177.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0385.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0385.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0239.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0239.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0257.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0257.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0176.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0176.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0192.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0192.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0118.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0118.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0166.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0166.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0287.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0287.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0113.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0113.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0406.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0406.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0404.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0404.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0249.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0249.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0294.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0294.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0024.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0024.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0008.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0008.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0282.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0282.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0380.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0380.nii.gz
/data/PANORAMA/amos22/amos22/images/amos_0286.nii.gz,/data/PANORAMA/amos22/amos22/labels/amos_0286.nii.gz
